duration,protocol_type,service,src_bytes,dst_bytes,failed_logins,count,srv_count,same_srv_rate,diff_srv_rate,attack_type
0,tcp,http,0,0,0,266,207,0.11481884555632131,0.9694703508778644,1
0,tcp,ssh,146,856,12,35,16,0.6354084794585612,0.2734526970049156,2
0,tcp,http,0,0,0,297,149,0.08730323441942545,0.9052926103853098,1
4,tcp,ssh,83,352,3,20,14,0.5807550314078431,0.36508561726179395,5
2,tcp,ssh,75,374,4,20,11,0.46740985371572946,0.4150998708628605,5
3,tcp,smtp,83,273,1,14,8,0.6223848956760601,0.3491652219994727,3
10,tcp,smtp,394,4503,0,2,2,1.0,0.0,0
4,tcp,http,527,1611,0,5,5,1.0,0.0,0
8,udp,dns,523,3324,0,4,3,1.0,0.0,0
4,tcp,smtp,121,317,1,9,7,0.6046371897613292,0.4152926605576759,3
0,tcp,http,0,0,13,42,44,0.4558264886405885,0.5136481356333232,4
4,tcp,smtp,148,326,2,8,9,0.4911206451534479,0.3016431606948368,3
4,udp,http,534,4179,0,1,2,1.0,0.0,0
0,tcp,http,0,0,9,41,27,0.4312307584061301,0.6336837130922055,4
3,tcp,ftp,140,357,1,10,7,0.5974983522358912,0.37232828921141947,3
5,tcp,smtp,127,375,1,15,10,0.5689281663906238,0.3440999061081352,3
0,tcp,http,0,0,8,50,48,0.3089119167650421,0.45504037257014635,4
3,tcp,ssh,45,309,1,14,9,0.586477508324908,0.39311025779044184,5
10,udp,dns,336,1542,0,2,4,1.0,0.0,0
0,tcp,http,0,0,0,273,302,0.047186353266475765,0.8964420452096326,1
3,tcp,ftp,144,204,3,11,11,0.6769897000805678,0.3083776764053642,3
0,tcp,http,0,0,0,347,380,0.08942574394463346,0.9542256096934943,1
0,tcp,http,0,0,0,173,190,0.0505065328804849,0.9258386580043585,1
8,tcp,smtp,335,3918,0,1,3,1.0,0.0,0
2,tcp,smtp,114,493,3,14,12,0.5899217470886617,0.5621349292242215,3
6,udp,smtp,416,1842,0,4,4,1.0,0.0,0
0,tcp,ssh,123,861,7,30,26,0.5017170404166581,0.2971553065281267,2
2,tcp,ssh,67,390,2,13,14,0.5772418763336664,0.3845103482104782,5
0,tcp,ssh,194,742,6,28,29,0.5227676534213217,0.271497228376549,2
0,tcp,http,0,0,8,38,41,0.5415352660051336,0.4411644491442404,4
3,tcp,smtp,98,216,2,11,12,0.5211886753739943,0.40008478730703073,3
5,tcp,ftp,160,311,1,15,11,0.6686930595410623,0.49442172389223904,3
0,tcp,ssh,152,917,7,39,20,0.521618189896651,0.3467620268856303,2
0,tcp,http,0,0,0,313,250,0.14240064799434846,0.8622297786465922,1
2,tcp,smtp,94,235,3,11,6,0.6448516267603729,0.4192418481779426,3
6,tcp,smtp,126,368,1,10,9,0.6853568894740608,0.34657662059873645,3
0,tcp,http,0,0,0,322,297,0.07264040702998177,0.9335290465251439,1
0,tcp,http,0,0,0,389,210,0.11496038354281513,0.9161901446823842,1
0,tcp,http,0,0,0,347,199,0.13384320006691952,0.9222521730465468,1
0,tcp,ssh,144,744,11,31,19,0.7168417869076021,0.27079542686428576,2
2,tcp,smtp,123,462,2,14,9,0.5070950987012686,0.3143360868489049,3
4,tcp,smtp,131,483,1,11,7,0.5338106194391331,0.35902208142108655,3
0,tcp,http,0,0,15,51,33,0.49266158172432317,0.657353948915774,4
0,tcp,ssh,178,856,10,36,25,0.659239493423636,0.4118831954842582,2
0,tcp,http,0,0,0,164,380,0.04902422558338059,0.9488878521961195,1
4,tcp,ssh,112,307,3,13,15,0.6441252023437815,0.48804447305125354,5
4,tcp,dns,509,3440,0,3,3,1.0,0.0,0
0,tcp,http,0,0,14,42,49,0.4294499963149192,0.5997706914333609,4
4,tcp,ftp,130,214,1,8,6,0.4892830593684685,0.5579342952808501,3
3,udp,http,521,4668,0,4,1,1.0,0.0,0
0,tcp,http,0,0,10,30,44,0.4958574254996885,0.6288657108028699,4
4,tcp,ssh,106,393,1,14,10,0.5817754751935001,0.48376446986312893,5
0,tcp,http,0,0,10,60,36,0.3091411503396977,0.540993598491028,4
0,tcp,http,0,0,0,188,321,0.03876274781351811,0.8988682613585633,1
0,tcp,ssh,197,994,5,31,22,0.7631058697417419,0.3123719156522634,2
0,tcp,http,0,0,0,252,303,0.08853146975128785,0.9291812833672057,1
9,udp,http,345,4107,0,4,1,1.0,0.0,0
