duration,protocol_type,src_bytes,dst_bytes,failed_logins,logged_in,count,srv_count,serror_rate,srv_serror_rate
17,tcp,333,610,4,0,13,17,0.26,0.05
19,tcp,157,1839,2,1,12,10,0.13,0.38
18,tcp,419,1706,0,0,30,9,0.43,0.26
1,tcp,134,1050,1,0,45,8,0.31,0.02
7,tcp,282,447,5,0,27,12,0.33,0.28
10,udp,205,1150,4,0,29,19,0.09,0.32
5,tcp,89,998,5,0,20,18,0.35,0.39
11,udp,50,1841,1,0,4,22,0.18,0.46
2,tcp,265,861,2,1,34,17,0.43,0.41
7,udp,118,1676,5,0,10,17,0.47,0.23
9,udp,451,528,2,0,31,24,0.47,0.01
5,udp,497,1993,0,1,46,18,0.25,0.02
12,udp,185,1200,2,1,40,16,0.21,0.12
6,tcp,466,1764,0,1,22,18,0.15,0.17
10,tcp,326,794,5,0,37,9,0.23,0.04
20,tcp,313,1501,2,1,22,17,0.11,0.13
19,tcp,318,1076,4,0,9,6,0.19,0.26
12,tcp,272,668,1,0,8,26,0.1,0.39
13,udp,365,1546,4,0,50,4,0.34,0.37
7,udp,81,920,2,0,39,10,0.0,0.35
3,udp,54,698,2,1,48,11,0.23,0.24
2,tcp,420,1745,1,1,18,21,0.38,0.21
1,udp,192,395,1,1,9,30,0.17,0.21
17,tcp,78,1699,0,0,17,7,0.39,0.13
10,udp,106,1400,2,0,27,6,0.21,0.35
9,tcp,339,1005,2,1,1,5,0.46,0.14
6,tcp,286,923,4,0,11,20,0.11,0.31
3,udp,254,1420,5,0,47,11,0.19,0.16
20,tcp,453,599,1,1,3,27,0.4,0.28
10,tcp,490,954,0,0,5,17,0.07,0.09
17,tcp,223,1434,5,0,14,30,0.36,0.01
8,udp,85,1175,1,0,25,1,0.42,0.44
14,tcp,330,856,5,0,12,10,0.14,0.14
7,udp,495,154,2,0,38,27,0.18,0.48
8,udp,423,1477,0,0,10,20,0.27,0.3
1,tcp,396,1779,3,0,35,17,0.33,0.02
13,tcp,179,1031,5,0,2,8,0.36,0.39
14,udp,268,126,1,0,39,27,0.49,0.05
11,tcp,468,471,4,0,20,17,0.49,0.13
15,udp,82,1959,2,1,41,6,0.46,0.49
4,tcp,465,1759,4,0,21,29,0.2,0.44
3,tcp,377,1520,4,0,39,13,0.17,0.41
2,udp,258,831,0,0,42,16,0.19,0.29
18,udp,138,738,2,0,31,6,0.27,0.12
4,tcp,234,1737,2,1,34,9,0.38,0.42
6,tcp,246,1396,3,1,14,14,0.19,0.11
10,udp,358,1580,5,0,32,20,0.32,0.22
2,tcp,118,1970,5,0,15,25,0.21,0.3
4,tcp,425,890,0,0,50,5,0.43,0.29
4,udp,386,713,0,1,27,14,0.23,0.1
7,tcp,460,1888,0,1,17,9,0.12,0.46
1,tcp,184,1384,4,0,35,6,0.08,0.23
2,tcp,244,1035,4,0,33,29,0.12,0.09
20,tcp,282,1785,4,0,20,19,0.24,0.11
9,udp,425,1782,5,0,7,11,0.14,0.38
13,tcp,482,249,3,1,17,5,0.25,0.07
8,tcp,81,902,4,0,36,29,0.4,0.34
15,udp,269,1380,0,0,22,6,0.01,0.08
17,tcp,350,1339,0,1,9,2,0.21,0.12
10,tcp,484,1654,2,0,28,24,0.42,0.05
19,tcp,444,777,1,1,38,11,0.25,0.01
8,udp,249,942,3,0,44,30,0.34,0.32
2,tcp,362,1991,2,1,48,20,0.29,0.33
17,tcp,191,1654,3,1,7,20,0.45,0.19
13,tcp,208,925,1,1,10,14,0.1,0.11
12,tcp,476,812,5,0,15,20,0.39,0.39
13,udp,400,726,5,0,32,11,0.22,0.37
18,tcp,356,191,5,0,34,14,0.2,0.3
11,tcp,136,1771,1,0,20,23,0.26,0.46
18,tcp,161,918,4,0,6,5,0.46,0.24
3,udp,177,930,0,0,22,11,0.36,0.02
14,udp,462,1897,1,1,32,23,0.35,0.15
6,udp,425,1636,3,1,16,8,0.23,0.27
12,tcp,176,1429,3,0,39,28,0.08,0.19
16,tcp,88,428,3,0,24,17,0.01,0.5
20,tcp,281,1682,3,1,7,14,0.41,0.07
4,tcp,451,1124,4,0,48,8,0.49,0.16
11,udp,170,1006,2,1,47,13,0.42,0.24
10,tcp,213,409,3,0,46,26,0.47,0.01
15,tcp,450,378,5,0,26,10,0.13,0.34
4,udp,187,334,2,0,10,14,0.1,0.31
6,udp,103,699,1,0,30,10,0.02,0.38
20,udp,440,1821,0,1,4,17,0.28,0.17
4,tcp,396,723,4,0,50,20,0.43,0.26
13,tcp,241,789,5,0,41,7,0.0,0.36
7,tcp,287,1155,4,0,45,3,0.24,0.3
4,tcp,494,1230,1,0,33,28,0.48,0.15
19,tcp,328,1667,4,0,6,22,0.09,0.24
2,udp,403,1538,0,0,43,6,0.3,0.07
19,udp,483,433,5,0,10,2,0.44,0.33
18,udp,155,292,5,0,25,29,0.32,0.31
4,tcp,232,978,0,1,37,26,0.32,0.0
8,tcp,169,519,0,1,38,24,0.28,0.29
8,udp,428,1855,2,0,30,19,0.18,0.42
3,tcp,341,1562,4,0,49,21,0.3,0.29
7,tcp,73,1040,2,0,8,19,0.49,0.09
1,udp,341,786,2,1,33,11,0.48,0.37
3,udp,245,1579,2,0,29,9,0.4,0.31
20,udp,163,1421,3,1,46,27,0.22,0.0
17,tcp,372,1842,0,0,4,18,0.02,0.19
2,udp,386,623,0,1,34,2,0.17,0.42
15,udp,254,556,3,0,4,2,0.07,0.32
13,tcp,129,1261,0,1,12,30,0.31,0.28
16,tcp,428,823,3,0,13,15,0.49,0.41
3,udp,329,1005,2,1,2,11,0.25,0.1
13,udp,366,453,3,0,24,5,0.18,0.31
17,udp,333,588,0,0,2,21,0.02,0.44
13,udp,353,325,5,0,47,28,0.16,0.42
4,udp,141,1993,1,1,46,28,0.18,0.23
2,tcp,251,1478,2,0,10,27,0.43,0.17
2,udp,148,1245,1,0,11,23,0.16,0.21
12,tcp,190,265,2,0,9,15,0.21,0.37
11,tcp,318,253,0,1,40,25,0.03,0.03
7,tcp,404,1518,4,0,14,7,0.16,0.0
3,udp,489,379,1,1,11,14,0.41,0.03
5,udp,459,1877,5,0,7,15,0.46,0.19
1,tcp,257,300,5,0,27,25,0.19,0.48
3,tcp,261,1326,5,0,29,5,0.37,0.21
2,udp,122,799,2,0,36,12,0.5,0.03
16,udp,251,1031,5,0,21,13,0.21,0.45
14,udp,201,491,2,1,27,10,0.48,0.37
6,tcp,86,142,1,0,8,19,0.14,0.06
7,tcp,205,1032,3,1,39,16,0.13,0.31
12,tcp,333,1188,1,0,33,13,0.02,0.1
20,udp,395,853,3,0,46,22,0.26,0.3
12,tcp,474,326,3,0,27,18,0.36,0.33
7,udp,98,350,2,1,49,3,0.23,0.07
4,udp,305,944,5,0,43,27,0.44,0.13
11,tcp,259,218,3,1,16,25,0.1,0.45
6,udp,395,1921,0,0,42,27,0.44,0.04
1,udp,369,1229,2,1,30,17,0.44,0.31
12,tcp,205,639,0,1,45,17,0.19,0.29
20,udp,145,712,1,0,21,21,0.49,0.09
9,udp,324,1492,2,1,20,5,0.31,0.31
19,udp,243,726,3,0,5,8,0.08,0.16
17,udp,291,571,3,1,8,11,0.39,0.49
7,udp,176,696,4,0,30,8,0.04,0.03
19,udp,447,897,4,0,30,12,0.41,0.0
7,tcp,382,610,0,0,44,18,0.27,0.41
5,tcp,250,265,3,0,49,28,0.3,0.26
4,tcp,358,1909,0,0,8,29,0.0,0.47
5,udp,119,819,4,0,3,18,0.32,0.33
15,tcp,152,1410,0,1,29,12,0.03,0.35
8,tcp,97,847,5,0,31,2,0.23,0.15
8,tcp,331,938,5,0,13,19,0.02,0.19
7,udp,344,1840,2,1,1,12,0.25,0.05
15,tcp,481,1468,0,0,15,27,0.03,0.25
12,udp,156,511,5,0,32,9,0.49,0.31
5,tcp,426,1594,2,0,11,19,0.2,0.24
12,udp,109,1218,1,1,10,5,0.43,0.36
3,tcp,157,250,0,0,12,20,0.36,0.38
3,udp,185,624,3,0,2,22,0.29,0.35
5,tcp,72,659,4,0,8,18,0.12,0.34
7,tcp,420,909,3,0,10,20,0.25,0.34
1,tcp,477,1562,1,1,39,14,0.03,0.08
8,tcp,162,1387,1,0,21,25,0.28,0.47
6,udp,180,512,3,0,9,17,0.45,0.03
3,udp,349,256,4,0,43,19,0.2,0.12
13,tcp,158,223,0,0,11,22,0.32,0.24
3,tcp,295,1602,2,0,21,1,0.01,0.28
8,udp,117,1292,1,0,9,24,0.12,0.12
7,udp,488,1492,4,0,47,10,0.11,0.12
9,tcp,91,1855,0,0,2,20,0.19,0.31
5,tcp,351,939,3,0,9,9,0.39,0.49
2,udp,499,1015,5,0,15,29,0.27,0.31
13,tcp,158,110,2,0,12,12,0.03,0.23
19,udp,100,1452,5,0,9,13,0.42,0.42
18,udp,484,492,3,0,30,12,0.23,0.17
16,tcp,252,1997,3,1,46,23,0.35,0.41
20,udp,57,626,0,0,25,22,0.22,0.01
17,udp,195,1932,1,0,9,15,0.17,0.39
13,udp,109,1853,1,0,17,19,0.04,0.37
1,tcp,475,470,0,1,45,16,0.31,0.06
18,tcp,313,991,3,1,50,11,0.18,0.48
1,tcp,475,1338,5,0,43,7,0.37,0.02
3,udp,403,1637,1,1,15,16,0.08,0.36
17,udp,103,126,5,0,35,15,0.49,0.13
4,tcp,259,682,1,0,38,20,0.41,0.43
11,udp,118,226,3,0,4,24,0.1,0.14
18,udp,263,570,0,0,15,21,0.29,0.37
19,tcp,256,143,1,0,38,2,0.47,0.31
1,udp,244,2000,2,0,29,2,0.28,0.43
8,tcp,329,428,5,0,38,23,0.07,0.33
19,udp,114,1810,1,1,5,23,0.1,0.27
20,udp,370,910,3,0,11,10,0.37,0.38
14,udp,71,833,3,1,25,22,0.29,0.15
9,udp,362,1871,4,0,36,14,0.24,0.07
6,udp,228,1327,4,0,46,14,0.01,0.09
14,udp,147,494,3,0,12,14,0.05,0.15
18,tcp,369,888,3,1,9,16,0.16,0.18
5,udp,76,397,1,0,29,21,0.29,0.25
17,udp,105,911,3,0,22,22,0.02,0.11
