duration,protocol_type,service,src_bytes,dst_bytes,failed_logins,count,srv_count,same_srv_rate,diff_srv_rate
6,tcp,http,300,2200,0,3,3,1.0,0.0
7,tcp,http,320,2400,0,4,4,1.0,0.0
5,tcp,http,280,2000,0,3,3,1.0,0.0
8,tcp,http,350,2600,0,4,4,1.0,0.0
4,tcp,http,260,1800,0,2,2,1.0,0.0
1,udp,dns,40,55,0,1,1,1.0,0.0
2,udp,dns,45,60,0,1,1,1.0,0.0
1,udp,dns,42,50,0,1,1,1.0,0.0
3,udp,dns,48,65,0,1,1,1.0,0.0
2,udp,dns,44,58,0,1,1,1.0,0.0
0,tcp,http,0,0,0,150,140,0.10,0.90
0,tcp,http,0,0,0,170,160,0.08,0.92
0,tcp,http,0,0,0,180,170,0.05,0.95
0,tcp,http,0,0,0,200,190,0.04,0.96
0,tcp,http,0,0,0,220,210,0.03,0.97
0,tcp,ssh,160,900,5,20,15,0.75,0.25
0,tcp,ssh,150,880,6,22,16,0.70,0.30
0,tcp,ssh,140,850,7,25,18,0.65,0.35
0,tcp,ssh,170,910,8,28,20,0.60,0.40
0,tcp,ssh,155,905,9,30,22,0.55,0.45
3,tcp,ftp,120,200,1,8,6,0.65,0.35
4,tcp,ftp,130,220,2,9,7,0.60,0.40
5,tcp,ftp,140,240,3,10,8,0.55,0.45
4,tcp,ftp,125,210,2,11,9,0.50,0.50
6,tcp,ftp,150,260,3,12,10,0.45,0.55
0,tcp,http,0,0,10,35,30,0.50,0.50
0,tcp,http,0,0,11,40,34,0.45,0.55
0,tcp,http,0,0,12,45,38,0.40,0.60
0,tcp,http,0,0,13,50,42,0.35,0.65
0,tcp,http,0,0,14,55,46,0.30,0.70
2,tcp,smtp,60,300,0,5,3,0.40,0.60
3,tcp,smtp,65,320,0,6,4,0.35,0.65
2,tcp,smtp,55,280,0,7,5,0.30,0.70
3,tcp,smtp,70,340,0,8,6,0.25,0.75
4,tcp,smtp,75,360,0,9,7,0.20,0.80
1,tcp,http,200,700,1,5,4,0.80,0.20
2,tcp,http,210,720,1,6,5,0.78,0.22
3,tcp,http,220,740,1,7,6,0.75,0.25
2,tcp,http,215,730,1,8,7,0.72,0.28
1,tcp,http,205,710,1,9,8,0.70,0.30
0,tcp,http,0,0,0,240,230,0.05,0.95
0,tcp,http,0,0,0,260,250,0.04,0.96
0,tcp,http,0,0,0,280,270,0.03,0.97
0,tcp,http,0,0,0,300,290,0.02,0.98
0,tcp,http,0,0,0,320,310,0.01,0.99
4,tcp,ssh,100,400,2,15,12,0.60,0.40
5,tcp,ssh,110,420,3,16,13,0.58,0.42
4,tcp,ssh,105,410,2,17,14,0.55,0.45
6,tcp,ssh,115,430,3,18,15,0.52,0.48
5,tcp,ssh,120,440,4,19,16,0.50,0.50
3,tcp,http,260,900,0,4,4,1.0,0.0
2,tcp,http,240,850,0,4,4,1.0,0.0
4,tcp,http,280,950,0,5,5,1.0,0.0
3,tcp,http,270,920,0,5,5,1.0,0.0
2,tcp,http,250,880,0,4,4,1.0,0.0
5,tcp,http,310,2100,0,4,4,1.0,0.0
6,tcp,http,330,2300,0,5,5,1.0,0.0
4,tcp,http,290,2000,0,3,3,1.0,0.0
7,tcp,http,360,2500,0,5,5,1.0,0.0
3,tcp,http,275,1950,0,3,3,1.0,0.0
1,udp,dns,46,63,0,1,1,1.0,0.0
2,udp,dns,41,57,0,1,1,1.0,0.0
3,udp,dns,52,68,0,1,1,1.0,0.0
1,udp,dns,43,54,0,1,1,1.0,0.0
2,udp,dns,47,62,0,1,1,1.0,0.0
0,tcp,http,0,0,0,340,320,0.01,0.99
0,tcp,http,0,0,0,360,340,0.01,0.99
0,tcp,http,0,0,0,380,360,0.01,0.99
0,tcp,http,0,0,0,400,380,0.01,0.99
0,tcp,http,0,0,0,420,400,0.01,0.99
3,tcp,ftp,130,240,2,10,8,0.55,0.45
4,tcp,ftp,140,260,3,11,9,0.50,0.50
5,tcp,ftp,150,280,3,12,10,0.45,0.55
4,tcp,ftp,135,250,2,11,9,0.50,0.50
6,tcp,ftp,160,300,3,13,11,0.40,0.60
1,tcp,http,210,720,1,6,5,0.78,0.22
2,tcp,http,225,750,1,7,6,0.75,0.25
3,tcp,http,235,770,1,8,7,0.72,0.28
2,tcp,http,220,740,1,7,6,0.75,0.25
1,tcp,http,215,730,1,6,5,0.78,0.22
