duration,protocol_type,src_bytes,dst_bytes,failed_logins,logged_in,count,srv_count,serror_rate,srv_serror_rate,attack_type
14,tcp,30,43,3,1,5,10,0.0018955309990334125,0.08476167010105956,4
5,tcp,82,83,2,1,4,4,0.08886013424654887,0.09579730502589234,4
8,tcp,62,35,4,1,10,7,0.02168592186714449,0.0745427640467563,4
14,tcp,26,35,3,1,3,10,0.05179833361315222,0.07026794332307668,4
13,tcp,93,13,5,1,10,10,0.05600549997249929,0.005693364130841794,4
12,tcp,12,14,4,1,2,8,0.031061096763613197,0.09745576875503607,4
6,tcp,15,75,3,1,8,4,0.03881095154617076,0.08351945512573312,4
18,tcp,49,52,5,1,9,3,0.06803928893827897,0.011556949884871826,4
6,tcp,47,88,4,1,10,5,0.025314281170219236,0.09532428062455083,4
19,tcp,92,41,5,1,1,3,0.04625664637559904,0.08069286629608848,4
9,tcp,91,80,5,1,5,7,0.00542739323973136,0.09402992568911668,4
8,tcp,42,54,2,1,4,9,0.006260803040641472,0.09300000936616322,4
11,tcp,63,81,5,1,8,10,0.09844925423918119,0.02300255564820508,4
10,tcp,23,93,2,1,6,6,0.002652113329713157,0.05078117709466698,4
12,tcp,48,44,2,1,2,4,0.03149872921543281,0.04563184669918468,4
19,tcp,50,37,5,1,4,6,0.05661568678684195,0.07160269174707275,4
10,tcp,23,52,3,1,8,4,0.005006601705749181,0.01790238149907609,4
0,tcp,143,123,25,0,20,18,0.13932664415543344,0.11089936197874871,2
0,tcp,86,57,31,0,60,11,0.12427130157860798,0.1969430700363204,2
0,tcp,148,189,25,0,71,9,0.022171790060499477,0.0034289781096291886,2
0,tcp,60,158,20,0,33,8,0.10250717006704878,0.09364730167913116,2
0,tcp,137,100,35,0,96,16,0.012456902176508146,0.19471209347952845,2
0,tcp,101,135,23,0,59,5,0.12974089514264467,0.03182716485446531,2
0,tcp,148,143,16,0,98,7,0.09774726010517226,0.05293432233426816,2
0,tcp,52,105,11,0,75,14,0.034797179817641015,0.17232813044989148,2
0,tcp,144,186,25,0,65,20,0.09796423595252035,0.049716236177068045,2
0,tcp,51,61,15,0,58,8,0.17086370923989844,0.11132161592728901,2
0,tcp,149,198,48,0,20,15,0.11281886882367874,0.17105861716162465,2
0,tcp,59,97,35,0,81,11,0.12502861498780427,0.002540405457724715,2
0,tcp,98,157,15,0,60,10,0.17417008376385854,0.10478690792474328,2
0,tcp,104,138,40,0,90,16,0.14934640593290358,0.03505830811039983,2
0,tcp,136,94,19,0,95,9,0.07054666381977444,0.08023290117570865,2
0,tcp,59,89,34,0,63,15,0.17551366429553214,0.15547705700003028,2
0,tcp,113,84,22,0,77,7,0.15625618902841193,0.0841537662879798,2
0,tcp,137,76,29,0,70,16,0.16331862671428723,0.06212658593145311,2
0,tcp,76,187,12,0,54,11,0.11267463844786543,0.06274539741798783,2
0,tcp,83,141,25,0,57,15,0.04890568103227484,0.10865359195034335,2
0,tcp,50,115,41,0,73,6,0.10326020241947463,0.004786971569374266,2
0,tcp,98,191,16,0,75,14,0.18886570524064739,0.0425531196489666,2
0,tcp,125,154,40,0,67,19,0.1018426140594432,0.07322540667288024,2
