duration,protocol_type,src_bytes,dst_bytes,failed_logins,logged_in,count,srv_count,serror_rate,srv_serror_rate,attack_type
3,icmp,34,32,0,0,90,5,0.6127949769085099,0.3545677852008007,3
5,tcp,40,38,0,0,113,3,0.397885666724632,0.3826458224778117,3
1,icmp,20,12,0,0,93,1,0.523775347647165,0.31008044021838194,3
5,icmp,22,24,0,0,126,3,0.4439507001817058,0.6845694133326138,3
1,icmp,23,15,0,0,67,2,0.35880764287693645,0.478417482427998,3
5,icmp,13,31,0,0,67,1,0.6952617126029129,0.5900399834735042,3
5,icmp,42,39,0,0,112,4,0.615717564397612,0.5711465903437496,3
2,tcp,22,24,0,0,82,2,0.3958520252749676,0.6327220712484407,3
2,icmp,43,48,0,0,149,3,0.6025136120285892,0.5780131366307141,3
1,icmp,46,46,0,0,57,3,0.5451587177824008,0.4523189080618277,3
3,tcp,40,50,0,0,63,2,0.5125605652907707,0.6195518585064328,3
3,tcp,28,10,0,0,64,4,0.6855669573555202,0.6023893765301458,3
1,tcp,37,36,0,0,149,2,0.6605531114959984,0.5305095984429924,3
3,icmp,49,49,0,0,57,1,0.5898682073763113,0.39612122618206635,3
1,icmp,23,24,0,0,60,3,0.3410493750624135,0.48092175090328826,3
1,icmp,17,36,0,0,99,1,0.5620470109115933,0.3040962229749756,3
5,icmp,38,36,0,0,144,4,0.5275765944650102,0.5072069376677787,3
1,icmp,19,48,0,0,146,1,0.6350632112593003,0.6132515034184675,3
5,tcp,19,25,0,0,103,3,0.3821528827584134,0.46628350499392546,3
4,tcp,32,49,0,0,134,5,0.4941849114448794,0.4990299894501844,3
2,icmp,45,43,0,0,96,5,0.4247040274658023,0.6299148774472596,3
1,tcp,50,46,0,0,108,3,0.6475500450739462,0.5775036722469795,3
4,icmp,16,41,0,0,114,4,0.6893605243972944,0.42784375168099037,3
4,icmp,23,47,0,0,63,5,0.6999477391394219,0.4187879859993464,3
3,tcp,33,22,0,0,120,4,0.4678858761819886,0.558353351397199,3
3,icmp,22,36,0,0,81,2,0.36081041966631466,0.6441593483359856,3
1,icmp,21,22,0,0,115,5,0.4240249583370538,0.5692781031637513,3
4,tcp,25,30,0,0,75,3,0.32209744148885405,0.4999275040787705,3
1,tcp,36,32,0,0,139,1,0.3456589645958627,0.38260768558030783,3
3,icmp,30,29,0,0,116,1,0.4413159452667472,0.6842538246983679,3
5,tcp,40,29,0,0,95,3,0.4262944322033206,0.5647711433161975,3
3,tcp,15,14,0,0,105,3,0.3848094158089681,0.33813219385555615,3
3,icmp,42,34,0,0,58,4,0.5556379135899243,0.4698754123602754,3
1,tcp,40,48,0,0,108,1,0.33428584286642815,0.44637969366811164,3
2,icmp,16,28,0,0,81,1,0.3223591772472083,0.30480039022411476,3
3,tcp,19,25,0,0,141,2,0.41416928052533275,0.6035984279414996,3
3,icmp,42,21,0,0,122,2,0.5350325431573539,0.3501231144308617,3
4,icmp,22,28,0,0,132,2,0.3756176086514649,0.4904367206867585,3
3,icmp,14,16,0,0,50,1,0.3042281012495616,0.4041925134952693,3
5,tcp,21,35,0,0,128,4,0.5746573334808549,0.6716834483477827,3
