duration,protocol_type,src_bytes,dst_bytes,failed_logins,logged_in,count,srv_count,serror_rate,srv_serror_rate,attack_type
2,0,80,260,0,1,10,5,0.0,0.0,5
1,0,30,106,8,0,11,7,0.1,0.1,4
0,0,167,412,5,0,26,21,0.1,0.1,2
0,0,141,576,10,0,29,10,0.1,0.1,2
0,0,181,449,9,0,40,21,0.1,0.1,2
4,0,82,160,0,1,12,8,0.0,0.0,5
7,0,63,330,0,0,15,10,0.36301496327030924,0.49296501752491784,3
0,0,0,0,0,0,138,252,0.9450867032204052,0.8330031044679949,1
0,0,0,0,0,0,258,125,0.9566932218837336,0.8897768671879958,1
4,0,120,312,0,0,40,13,0.20159308699691075,0.21284335770745996,3
1,0,39,114,4,0,8,7,0.1,0.1,4
1,0,39,41,4,0,5,8,0.1,0.1,4
5,0,425,3044,0,1,4,3,0.0,0.0,0
0,0,0,0,0,0,156,250,0.8680932096993229,0.7878024919537124,1
1,0,35,42,8,0,5,5,0.1,0.1,4
1,0,44,111,6,0,11,5,0.1,0.1,4
7,0,429,2845,0,1,2,4,0.0,0.0,0
1,0,38,57,6,0,6,9,0.1,0.1,4
5,0,311,3030,0,1,4,4,0.0,0.0,0
5,0,250,2473,0,1,4,4,0.0,0.0,0
8,0,331,1901,0,1,4,3,0.0,0.0,0
5,0,102,338,0,0,19,10,0.42983502169382887,0.29074931048203634,3
1,0,49,114,8,0,11,7,0.1,0.1,4
7,0,86,343,0,0,10,7,0.4885139884610073,0.42816745989015426,3
3,0,89,273,0,0,13,7,0.2903108040417795,0.3872197223541344,3
6,0,71,374,0,0,34,8,0.37362351680794303,0.33815614085690565,3
1,0,31,119,3,0,7,8,0.1,0.1,4
6,0,312,3567,0,1,4,1,0.0,0.0,0
5,0,115,295,0,1,10,7,0.0,0.0,5
0,0,101,596,8,0,23,13,0.1,0.1,2
0,0,129,569,6,0,31,27,0.1,0.1,2
1,0,52,100,4,0,6,7,0.1,0.1,4
0,0,152,449,6,0,28,14,0.1,0.1,2
0,0,100,691,9,0,31,20,0.1,0.1,2
1,0,23,80,4,0,10,5,0.1,0.1,4
6,0,73,320,0,0,12,13,0.3646165686353846,0.48016067709669075,3
5,0,62,211,0,1,4,6,0.0,0.0,5
0,0,156,777,10,0,21,13,0.1,0.1,2
3,0,270,3658,0,1,4,1,0.0,0.0,0
0,0,121,404,10,0,36,30,0.1,0.1,2
0,0,0,0,0,0,158,217,0.9011687314160138,0.7279874548280448,1
0,0,0,0,0,0,166,132,0.8305329648914975,0.7652848115808021,1
1,0,38,116,4,0,12,6,0.1,0.1,4
0,0,177,561,5,0,29,26,0.1,0.1,2
1,0,30,119,5,0,8,10,0.1,0.1,4
0,0,0,0,0,0,188,211,0.9159360361662668,0.7453981726263794,1
1,0,49,74,6,0,15,6,0.1,0.1,4
4,0,95,227,0,1,12,4,0.0,0.0,5
0,0,0,0,0,0,223,244,0.982420539573745,0.8972628644179216,1
1,0,54,77,7,0,5,10,0.1,0.1,4
4,0,65,311,0,0,33,10,0.2675565821601396,0.4149670843473737,3
5,0,349,2985,0,1,3,2,0.0,0.0,0
7,0,61,220,0,0,26,6,0.26324132472688877,0.2413345169882081,3
1,0,54,120,4,0,8,5,0.1,0.1,4
4,0,117,131,0,1,10,7,0.0,0.0,5
3,0,389,3069,0,1,1,2,0.0,0.0,0
5,0,63,250,0,0,20,12,0.3522864270900316,0.22934079082831216,3
3,0,87,214,0,1,9,10,0.0,0.0,5
3,0,213,3766,0,1,3,2,0.0,0.0,0
0,0,190,663,10,0,26,30,0.1,0.1,2
9,0,360,3111,0,1,5,3,0.0,0.0,0
0,0,141,644,9,0,15,22,0.1,0.1,2
2,0,87,222,0,1,12,4,0.0,0.0,5
10,0,327,1586,0,1,4,1,0.0,0.0,0
0,0,120,676,9,0,34,16,0.1,0.1,2
4,0,55,249,0,1,7,10,0.0,0.0,5
10,0,334,3654,0,1,4,2,0.0,0.0,0
7,0,205,1864,0,1,2,1,0.0,0.0,0
0,0,0,0,0,0,162,231,0.9334310490838141,0.7251426313247424,1
8,0,456,3499,0,1,4,3,0.0,0.0,0
2,0,87,298,0,1,4,9,0.0,0.0,5
5,0,96,164,0,1,7,8,0.0,0.0,5
10,0,359,1743,0,1,1,1,0.0,0.0,0
0,0,131,515,7,0,23,25,0.1,0.1,2
5,0,430,3179,0,1,4,3,0.0,0.0,0
0,0,0,0,0,0,176,129,0.8240885437386262,0.7602565736868261,1
