duration,protocol_type,src_bytes,dst_bytes,failed_logins,logged_in,count,srv_count,serror_rate,srv_serror_rate,attack_type
9,0,248,3899,0,1,5,2,0.0,0.0,0
5,0,90,281,0,1,9,9,0.0,0.0,5
0,0,153,748,6,0,35,22,0.1,0.1,2
5,0,111,305,0,0,10,7,0.4879526611486996,0.377303817848038,3
0,0,0,0,0,0,259,187,0.8374502702379059,0.7341382576888499,1
5,0,227,2027,0,1,4,5,0.0,0.0,0
1,0,36,68,5,0,6,6,0.1,0.1,4
5,0,50,388,0,0,11,5,0.4375887023400064,0.4270103574724623,3
1,0,35,97,4,0,8,7,0.1,0.1,4
3,0,72,222,0,0,25,12,0.3680291635835454,0.3557595794731049,3
0,0,0,0,0,0,200,227,0.9246695708840067,0.7096958627343104,1
6,0,60,355,0,0,19,8,0.26505774470339316,0.353315752348776,3
0,0,0,0,0,0,132,188,0.8076375280282899,0.7491405302873393,1
7,0,116,284,0,0,35,12,0.4646450602502152,0.25922043921972215,3
0,0,175,519,10,0,33,25,0.1,0.1,2
5,0,68,318,0,0,10,12,0.3077693936575428,0.29948940305668753,3
1,0,21,74,7,0,9,9,0.1,0.1,4
1,0,56,64,7,0,12,5,0.1,0.1,4
0,0,0,0,0,0,225,211,0.8848039608896912,0.772355225849324,1
1,0,55,60,3,0,14,6,0.1,0.1,4
1,0,58,94,4,0,5,7,0.1,0.1,4
0,0,171,456,6,0,40,23,0.1,0.1,2
6,0,118,334,0,0,35,7,0.3922545285007777,0.39117335093842553,3
5,0,45,223,0,1,12,6,0.0,0.0,5
6,0,70,291,0,0,13,15,0.34295887485234233,0.3062777090148804,3
1,0,35,59,8,0,7,9,0.1,0.1,4
0,0,0,0,0,0,205,222,0.8577631029976646,0.7764766358817747,1
5,0,51,308,0,0,32,10,0.2940554070782762,0.278562519408164,3
0,0,126,566,6,0,40,24,0.1,0.1,2
2,0,90,136,0,1,5,10,0.0,0.0,5
9,0,413,2425,0,1,1,2,0.0,0.0,0
1,0,55,60,6,0,6,8,0.1,0.1,4
0,0,192,564,7,0,34,12,0.1,0.1,2
0,0,118,487,10,0,25,15,0.1,0.1,2
0,0,184,699,6,0,36,29,0.1,0.1,2
1,0,46,102,8,0,6,8,0.1,0.1,4
1,0,31,106,4,0,13,7,0.1,0.1,4
0,0,0,0,0,0,231,191,0.9262144745752542,0.7858644266939473,1
0,0,0,0,0,0,282,257,0.9547207641641166,0.8565654417831556,1
0,0,0,0,0,0,151,261,0.9726723463218393,0.9350330651535237,1
5,0,418,3604,0,1,1,4,0.0,0.0,0
6,0,97,232,0,0,39,15,0.30081411557735926,0.3600578360498797,3
1,0,37,91,3,0,14,8,0.1,0.1,4
5,0,393,2653,0,1,5,2,0.0,0.0,0
5,0,321,1910,0,1,5,2,0.0,0.0,0
2,0,85,251,0,1,7,10,0.0,0.0,5
0,0,0,0,0,0,157,153,0.8357440698116074,0.817389796970696,1
3,0,267,2185,0,1,2,3,0.0,0.0,0
10,0,255,3385,0,1,5,5,0.0,0.0,0
0,0,0,0,0,0,123,141,0.9505661101461917,0.8932943996213327,1
4,0,83,310,0,0,32,12,0.21799295010716432,0.28236231447906546,3
2,0,113,211,0,1,9,7,0.0,0.0,5
0,0,0,0,0,0,183,238,0.8270840890607812,0.778289815657002,1
1,0,53,52,6,0,11,8,0.1,0.1,4
0,0,0,0,0,0,162,106,0.8458870456745884,0.7048197940948919,1
4,0,88,308,0,0,30,13,0.4538852922521097,0.2893141481999841,3
5,0,119,299,0,1,9,4,0.0,0.0,5
5,0,87,135,0,1,4,5,0.0,0.0,5
1,0,49,69,5,0,13,7,0.1,0.1,4
0,0,0,0,0,0,243,117,0.9699648422797034,0.9187985726420332,1
3,0,48,144,0,1,5,10,0.0,0.0,5
1,0,60,44,4,0,11,5,0.1,0.1,4
1,0,40,82,3,0,12,8,0.1,0.1,4
1,0,20,47,7,0,6,10,0.1,0.1,4
1,0,25,59,5,0,5,5,0.1,0.1,4
5,0,280,2095,0,1,4,1,0.0,0.0,0
4,0,56,247,0,1,8,9,0.0,0.0,5
1,0,51,75,8,0,9,5,0.1,0.1,4
0,0,158,695,5,0,19,25,0.1,0.1,2
0,0,150,467,9,0,35,11,0.1,0.1,2
0,0,0,0,0,0,176,216,0.9564543350577114,0.8235095465493604,1
0,0,0,0,0,0,231,201,0.9746408351767875,0.8105925714013577,1
4,0,228,2703,0,1,3,2,0.0,0.0,0
0,0,0,0,0,0,150,191,0.8442378260997406,0.8743446122853848,1
0,0,102,637,6,0,35,11,0.1,0.1,2
0,0,107,477,6,0,22,30,0.1,0.1,2
4,0,110,132,0,1,7,6,0.0,0.0,5
2,0,75,233,0,1,12,7,0.0,0.0,5
6,0,95,290,0,0,27,14,0.40574386380163063,0.3950095725014552,3
1,0,55,56,3,0,9,5,0.1,0.1,4
4,0,83,275,0,0,21,15,0.2587868702671055,0.493541493882551,3
0,0,170,607,6,0,30,17,0.1,0.1,2
0,0,0,0,0,0,293,209,0.9637759934890539,0.896057395454348,1
1,0,47,46,6,0,6,7,0.1,0.1,4
0,0,0,0,0,0,189,149,0.890653558320516,0.7633397421973942,1
0,0,0,0,0,0,159,247,0.963900452163823,0.8851687582536305,1
4,0,330,3062,0,1,1,1,0.0,0.0,0
2,0,95,208,0,1,5,5,0.0,0.0,5
7,0,72,251,0,0,25,14,0.33108815371106814,0.4618049106714255,3
5,0,118,328,0,0,11,8,0.2680108724143362,0.3932231472714885,3
9,0,279,3334,0,1,2,5,0.0,0.0,0
3,0,66,364,0,0,17,10,0.2860825792505259,0.39941167428151375,3
0,0,0,0,0,0,159,147,0.9196596128973673,0.7832151582727517,1
1,0,39,91,4,0,14,5,0.1,0.1,4
5,0,58,363,0,0,35,9,0.3888910057749704,0.298401894682659,3
1,0,58,76,3,0,15,8,0.1,0.1,4
0,0,151,579,5,0,30,27,0.1,0.1,2
0,0,104,481,5,0,22,10,0.1,0.1,2
0,0,153,689,6,0,23,17,0.1,0.1,2
1,0,31,108,3,0,8,5,0.1,0.1,4
4,0,79,306,0,0,10,5,0.2540439845316823,0.4386090500997228,3
0,0,144,556,6,0,17,18,0.1,0.1,2
0,0,177,626,8,0,38,17,0.1,0.1,2
0,0,152,574,9,0,17,20,0.1,0.1,2
0,0,188,485,9,0,16,27,0.1,0.1,2
4,0,72,285,0,1,11,10,0.0,0.0,5
4,0,118,222,0,1,12,5,0.0,0.0,5
0,0,0,0,0,0,285,192,0.9162238185095989,0.7625099819640482,1
7,0,83,326,0,0,15,5,0.41294296616021353,0.4087456094732018,3
9,0,388,1725,0,1,3,2,0.0,0.0,0
7,0,118,383,0,0,24,10,0.3509873945967878,0.41939986289488174,3
0,0,114,494,7,0,35,15,0.1,0.1,2
0,0,0,0,0,0,155,214,0.9860647061450116,0.7454648697009566,1
0,0,0,0,0,0,296,166,0.9243244102580015,0.7423812468508694,1
0,0,0,0,0,0,132,179,0.9071932801952128,0.8879905411302323,1
1,0,20,92,6,0,9,8,0.1,0.1,4
6,0,78,388,0,0,25,10,0.33443289818541433,0.4095909435232059,3
0,0,0,0,0,0,131,199,0.9020895638311229,0.7378074478161779,1
8,0,313,2135,0,1,4,2,0.0,0.0,0
4,0,287,3451,0,1,2,4,0.0,0.0,0
3,0,306,3618,0,1,3,3,0.0,0.0,0
0,0,122,558,8,0,25,27,0.1,0.1,2
2,0,87,264,0,1,9,7,0.0,0.0,5
0,0,143,457,10,0,18,13,0.1,0.1,2
7,0,87,261,0,0,27,14,0.4243570711108865,0.2046653298547881,3
0,0,0,0,0,0,256,183,0.8086445732270197,0.9411477769588517,1
